timestamps,TP9,AF7,AF8,TP10,Right AUX
1711108240.908,-1000.000,-893.555,-830.078,-1000.000,0.000
1711108240.912,-259.766,193.848,163.574,-202.637,0.000
1711108240.915,959.961,-1000.000,-1000.000,-953.613,0.000
1711108240.919,-915.527,-764.160,-955.566,895.996,0.000
1711108240.923,209.473,608.398,324.219,-408.203,0.000
1711108240.927,-1000.000,-818.848,-782.227,-1000.000,0.000
1711108240.931,-432.129,150.879,164.551,-177.734,0.000
1711108240.935,903.320,-1000.000,-1000.000,-996.582,0.000
1711108240.939,-894.531,-1000.000,-1000.000,-975.098,0.000
1711108240.943,208.984,181.152,48.828,-123.535,0.000
1711108240.947,-1000.000,-769.531,-776.367,-1000.000,0.000
1711108240.951,-642.578,200.195,324.219,-342.285,0.000
1711108240.954,741.211,-1000.000,-951.660,926.270,0.000
1711108240.958,-847.656,-1000.000,-1000.000,-915.039,0.000
1711108240.962,200.195,13.184,-134.766,56.641,0.000
1711108240.966,-1000.000,-784.180,-827.148,-1000.000,0.000
1711108240.970,-924.805,382.324,512.695,-516.113,0.000
1711108240.974,363.770,-928.223,-852.539,835.449,0.000
1711108240.978,-792.969,-1000.000,-1000.000,-870.117,0.000
1711108240.982,333.496,-119.629,-222.168,194.336,0.000
1711108240.986,-985.840,-851.074,-918.457,-1000.000,0.000
1711108240.990,-1000.000,631.348,777.344,-754.395,0.000
1711108240.994,201.172,-734.863,-581.543,624.512,0.000
1711108240.997,-809.570,-1000.000,-1000.000,-824.707,0.000
1711108241.001,544.434,-200.684,-187.500,162.109,0.000
1711108241.005,-820.312,-960.449,-980.957,-1000.000,0.000
1711108241.009,-1000.000,916.992,981.445,-957.520,0.000
1711108241.013,56.641,-370.605,-246.582,332.520,0.000
1711108241.017,-858.398,-1000.000,-1000.000,-781.250,0.000
1711108241.021,722.168,-186.035,-229.492,138.184,0.000
1711108241.025,-589.844,-979.004,976.562,-1000.000,0.000
1711108241.029,-1000.000,992.188,-946.777,-1000.000,0.000
1711108241.033,-179.688,-229.004,-26.855,39.062,0.000
1711108241.037,-983.887,-1000.000,-1000.000,-774.902,0.000
1711108241.040,991.211,-221.191,-416.016,333.008,0.000
1711108241.044,-230.469,984.863,887.207,-947.266,0.000
1711108241.048,-1000.000,-955.078,-891.602,-1000.000,0.000
1711108241.052,-172.852,-54.688,157.227,-151.855,0.000
1711108241.056,993.164,-1000.000,-1000.000,-830.566,0.000
1711108241.060,-942.871,-434.082,-637.207,531.250,0.000
1711108241.064,-8.789,870.117,745.117,-848.145,0.000
1711108241.068,-1000.000,-882.812,-847.168,-1000.000,0.000
1711108241.072,-206.543,187.988,174.805,-218.262,0.000
1711108241.076,975.586,-1000.000,-1000.000,-927.734,0.000
1711108241.080,-923.340,-731.934,-889.648,809.570,0.000
1711108241.083,194.336,646.973,435.059,-541.504,0.000
1711108241.087,-1000.000,-829.102,-794.922,-1000.000,0.000
1711108241.091,-401.855,167.480,145.508,-181.641,0.000
1711108241.095,916.016,-1000.000,-1000.000,-992.188,0.000
1711108241.099,-899.414,-921.875,-1000.000,-985.840,0.000
1711108241.103,214.355,387.695,129.883,-179.688,0.000
1711108241.107,-1000.000,-789.062,-770.508,-1000.000,0.000
1711108241.111,-582.520,145.508,257.812,-270.508,0.000
1711108241.115,803.711,-1000.000,-982.910,957.520,0.000
1711108241.119,-864.258,-1000.000,-1000.000,-931.641,0.000
1711108241.123,190.430,125.977,-73.242,21.973,0.000
1711108241.126,-1000.000,-770.020,-804.688,-1000.000,0.000
1711108241.130,-741.211,321.777,447.266,-466.797,0.000
1711108241.134,613.281,-948.730,-889.648,862.793,0.000
1711108241.138,-824.219,-1000.000,-1000.000,-879.883,0.000
1711108241.142,297.363,-114.258,-215.820,185.547,0.000
1711108241.146,-1000.000,-817.871,-889.160,-1000.000,0.000
1711108241.150,-1000.000,487.305,686.523,-717.773,0.000
1711108241.154,214.844,-870.605,-691.406,667.969,0.000
1711108241.158,-794.434,-1000.000,-1000.000,-831.543,0.000
1711108241.162,475.098,-225.586,-199.219,165.527,0.000
1711108241.166,-881.836,-913.086,-959.473,-1000.000,0.000
1711108241.169,-1000.000,759.766,914.551,-936.523,0.000
1711108241.173,51.270,-606.445,-370.605,365.234,0.000
1711108241.177,-851.074,-1000.000,-1000.000,-785.645,0.000
1711108241.181,688.965,-205.078,-191.895,141.113,0.000
1711108241.185,-639.160,-937.500,994.629,-1000.000,0.000
1711108241.189,-1000.000,848.145,-964.355,-1000.000,0.000
1711108241.193,-144.043,-475.098,-88.867,74.219,0.000
1711108241.197,-961.914,-1000.000,-1000.000,-770.996,0.000
1711108241.201,949.707,-198.242,-348.633,262.695,0.000
1711108241.205,-297.852,971.680,921.387,-983.398,0.000
1711108241.208,-1000.000,-940.918,-909.668,-1000.000,0.000
1711108241.212,-156.738,29.785,97.168,-91.797,0.000
1711108241.216,-997.559,-1000.000,-1000.000,-805.664,0.000
1711108241.220,-955.078,-423.828,-553.223,437.988,0.000
1711108241.224,-64.453,895.508,812.012,-897.949,0.000
1711108241.228,-1000.000,-895.996,-863.281,-1000.000,0.000
1711108241.232,-173.828,114.746,188.477,-236.328,0.000
1711108241.236,985.840,-1000.000,-1000.000,-892.090,0.000
1711108241.240,-926.758,-584.961,-798.828,684.570,0.000
1711108241.244,152.344,789.551,566.406,-704.590,0.000
1711108241.247,-1000.000,-857.422,-813.477,-1000.000,0.000
1711108241.251,-291.992,185.059,154.297,-198.730,0.000
1711108241.255,958.984,-1000.000,-1000.000,-961.426,0.000
1711108241.259,-913.086,-811.035,-1000.000,921.875,0.000
1711108241.263,223.145,550.293,235.352,-368.164,0.000
1711108241.267,-1000.000,-809.570,-773.438,-1000.000,0.000
1711108241.271,-423.828,147.461,193.359,-173.828,0.000
1711108241.275,910.156,-1000.000,-1000.000,998.047,0.000
1711108241.279,-896.973,-1000.000,-1000.000,-963.867,0.000
1711108241.283,205.078,153.320,-8.301,-74.707,0.000
1711108241.287,-1000.000,-769.043,-786.133,-1000.000,0.000
1711108241.290,-709.961,215.820,376.953,-368.652,0.000
1711108241.294,658.691,-1000.000,-926.270,911.621,0.000
1711108241.298,-833.496,-1000.000,-1000.000,-903.320,0.000
1711108241.302,263.184,-22.461,-179.688,116.211,0.000
1711108241.306,-1000.000,-791.016,-854.492,-1000.000,0.000
1711108241.310,-932.129,413.574,588.867,-566.895,0.000
1711108241.314,365.234,-910.645,-790.039,812.500,0.000
1711108241.318,-798.828,-1000.000,-1000.000,-860.840,0.000
1711108241.322,411.621,-167.480,-212.891,182.617,0.000
1711108241.326,-922.363,-838.867,-934.082,-1000.000,0.000
1711108241.330,-1000.000,527.832,830.566,-845.215,0.000
1711108241.333,97.168,-851.562,-504.395,505.859,0.000
1711108241.337,-829.590,-1000.000,-1000.000,-802.734,0.000
1711108241.341,633.301,-209.961,-181.641,145.996,0.000
1711108241.345,-714.844,-950.195,-990.234,-1000.000,0.000
1711108241.349,-1000.000,884.766,-993.164,-1000.000,0.000
1711108241.353,-49.805,-425.781,-175.293,145.020,0.000
1711108241.357,-918.945,-1000.000,-1000.000,-765.625,0.000
1711108241.361,876.465,-175.781,-284.668,223.145,0.000
1711108241.365,-396.484,-1000.000,951.660,-997.559,0.000
1711108241.369,-1000.000,-967.285,-929.199,-1000.000,0.000
1711108241.373,-150.879,-102.051,26.855,-56.641,0.000
1711108241.376,-989.746,-1000.000,-1000.000,-795.410,0.000
1711108241.380,-974.121,-310.547,-471.191,408.691,0.000
1711108241.384,-130.859,938.965,860.352,-909.668,0.000
1711108241.388,-1000.000,-913.574,-879.883,-1000.000,0.000
1711108241.392,-172.852,84.473,177.734,-229.004,0.000
1711108241.396,989.258,-1000.000,-1000.000,-873.047,0.000
1711108241.400,-931.152,-408.691,-698.242,619.141,0.000
1711108241.404,69.824,901.367,683.594,-772.949,0.000
1711108241.408,-1000.000,-893.066,-834.961,-1000.000,0.000
1711108241.412,-213.379,194.824,166.504,-209.961,0.000
1711108241.416,979.492,-1000.000,-1000.000,-939.453,0.000
1711108241.419,-922.852,-750.488,-937.012,849.609,0.000
1711108241.423,220.215,625.488,358.887,-479.492,0.000
1711108241.427,-1000.000,-822.754,-785.645,-1000.000,0.000
