timestamps,TP9,AF7,AF8,TP10,Right AUX
1711204389.517,964.355,939.453,-1000.000,-937.988,0.000
1711204389.521,964.355,971.191,-985.840,-1000.000,0.000
1711204389.525,964.355,964.844,56.641,-269.043,0.000
1711204389.529,963.867,964.844,-854.004,-933.105,0.000
1711204389.533,963.867,964.844,94.238,882.812,0.000
1711204389.537,964.355,964.844,-1000.000,-499.512,0.000
1711204389.541,964.355,964.844,-1000.000,-1000.000,0.000
1711204389.545,964.355,965.332,-40.039,215.332,0.000
1711204389.548,964.355,964.844,-859.863,-913.086,0.000
1711204389.552,964.355,964.844,214.844,906.738,0.000
1711204389.556,964.355,964.844,-963.867,962.891,0.000
1711204389.560,964.355,964.844,-1000.000,965.820,0.000
1711204389.564,970.703,964.844,-203.613,964.844,0.000
1711204389.568,937.012,975.586,-896.484,964.844,0.000
1711204389.572,947.754,892.090,512.207,964.844,0.000
1711204389.576,-964.844,-899.414,-752.930,964.844,0.000
1711204389.580,-221.680,392.090,-1000.000,964.844,0.000
1711204389.584,-1000.000,-989.746,-751.953,964.844,0.000
1711204389.587,-937.988,-1000.000,579.102,964.844,0.000
1711204389.591,-1000.000,-956.543,833.984,964.844,0.000
1711204389.595,-1000.000,-1000.000,-474.609,964.844,0.000
1711204389.599,-1000.000,-1000.000,-1000.000,964.844,0.000
1711204389.603,-1000.000,-1000.000,-130.371,964.844,0.000
1711204389.607,-1000.000,-937.988,-995.605,964.844,0.000
1711204389.611,-1000.000,-1000.000,954.102,964.844,0.000
1711204389.615,-1000.000,-221.680,-158.691,964.844,0.000
1711204389.619,-1000.000,-963.867,-1000.000,964.844,0.000
1711204389.623,-1000.000,948.730,-17.090,964.844,0.000
1711204389.627,-1000.000,937.988,995.117,964.844,0.000
1711204389.630,-1000.000,971.680,-950.684,964.844,0.000
1711204389.634,-1000.000,965.332,224.121,964.844,0.000
1711204389.638,-1000.000,965.332,-1000.000,964.844,0.000
1711204389.642,-1000.000,965.332,-335.449,964.844,0.000
1711204389.646,-1000.000,965.332,882.324,964.844,0.000
1711204389.650,-996.094,965.332,-911.621,964.844,0.000
1711204389.654,-944.824,965.332,414.062,964.844,0.000
1711204389.658,-1000.000,965.332,-1000.000,964.844,0.000
1711204389.662,-140.137,965.332,-156.250,964.844,0.000
1711204389.666,-943.848,964.844,-983.887,964.844,0.000
1711204389.670,936.523,964.844,-958.008,964.844,0.000
1711204389.673,943.359,964.844,449.707,964.844,0.000
1711204389.677,968.750,964.844,-920.898,964.844,0.000
1711204389.681,964.355,964.844,-928.223,964.844,0.000
1711204389.685,964.355,964.844,324.219,964.844,0.000
1711204389.689,963.867,964.844,-917.969,964.844,0.000
1711204389.693,964.355,964.844,-82.520,964.844,0.000
1711204389.697,964.355,965.332,-1000.000,964.844,0.000
1711204389.701,964.355,964.844,-1000.000,964.844,0.000
1711204389.705,964.355,964.844,-165.527,964.844,0.000
1711204389.709,964.355,964.844,-870.605,964.844,0.000
1711204389.712,964.355,964.844,69.824,964.844,0.000
1711204389.716,964.355,964.844,-1000.000,964.844,0.000
1711204389.720,964.355,964.844,-1000.000,964.844,0.000
1711204389.724,963.867,965.332,-464.844,964.844,0.000
1711204389.728,964.355,964.844,-995.605,964.844,0.000
1711204389.732,964.355,964.844,364.258,964.844,0.000
1711204389.736,964.355,965.332,-930.664,964.844,0.000
1711204389.740,964.355,965.332,-1000.000,964.844,0.000
1711204389.744,964.355,964.844,-348.145,964.844,0.000
1711204389.748,964.355,964.844,994.141,964.844,0.000
1711204389.752,964.355,964.844,687.012,964.844,0.000
1711204389.755,963.867,964.844,-569.336,964.844,0.000
1711204389.759,964.355,965.332,-1000.000,964.844,0.000
1711204389.763,964.355,964.844,-204.102,964.844,0.000
1711204389.767,963.867,964.844,-968.262,964.844,0.000
1711204389.771,964.355,964.844,780.762,964.844,0.000
1711204389.775,964.355,964.844,-380.371,964.844,0.000
1711204389.779,964.355,965.332,-1000.000,964.844,0.000
1711204389.783,964.355,964.844,-458.984,964.844,0.000
1711204389.787,964.355,964.355,821.289,964.844,0.000
1711204389.791,963.867,964.844,975.098,964.844,0.000
1711204389.795,964.355,965.332,-156.738,964.844,0.000
1711204389.798,964.355,965.332,-1000.000,964.844,0.000
1711204389.802,964.355,965.332,-539.062,964.844,0.000
1711204389.806,964.355,964.844,714.355,964.844,0.000
1711204389.810,964.355,964.844,-901.855,964.844,0.000
1711204389.814,964.355,964.844,83.984,964.844,0.000
1711204389.818,964.355,965.332,-1000.000,964.844,0.000
1711204389.822,964.355,964.844,-676.270,964.844,0.000
1711204389.826,964.355,964.844,549.805,964.844,0.000
1711204389.830,964.355,964.844,-882.812,964.844,0.000
1711204389.834,964.355,964.844,192.383,964.844,0.000
1711204389.837,964.355,965.332,-1000.000,964.844,0.000
1711204389.841,964.355,964.844,-770.996,964.844,0.000
1711204389.845,964.355,964.844,423.340,964.844,0.000
